DX1,DY1,DX2,DY2,DX3,DY3,DX4,DY4,N° image
0,0,-6.55314471849227E-06,-2.5088236992663E-05,5.19594400919571E-06,-1.98922929834673E-05,0,0,1
0,0,-8.54783391240946E-06,-4.30019921024041E-05,-1.85586395779208E-06,-3.9203091485251E-08,0,0,2
0,0,-6.13904430188759E-06,-2.13685771135833E-05,1.82222697382946E-06,-1.57541063193887E-05,0,0,3
0,0,-1.17661936734004E-05,-4.46544239098974E-05,2.82893232519814E-05,1.41596568016337E-06,0,0,4
0,0,-1.38740366042136E-05,-3.676773363359E-05,3.12844471457024E-06,-5.12749330031728E-06,0,0,5
0,0,-1.13455973206388E-05,-2.69764222501871E-05,1.3132638512599E-06,-1.77433260964817E-06,0,0,6
0,0,-1.28085138457212E-05,-3.44833766565628E-05,6.05097159641192E-06,-6.03600692440336E-07,0,0,7
0,0,-1.02857501411717E-05,-4.45254356539044E-05,-1.14131916333621E-06,-3.01053843149317E-08,0,0,8
0,0,-6.91640957165452E-06,-2.14169470004286E-05,2.31217731609786E-06,-1.30817384026598E-05,0,0,9
0,0,-8.51205366484194E-06,-2.30178847783139E-05,2.14728970791376E-06,-9.06020281424997E-06,0,0,10
0,0,-9.6883059315494E-06,-2.38988740021472E-05,1.21308052168267E-06,-5.78315368257817E-06,0,0,11
0,0,-1.03440864952152E-05,-2.50297656547866E-05,7.73166221090954E-07,-4.44627132570846E-06,0,0,12
0,0,-1.35658075425705E-05,-3.94191001368432E-05,4.07045793993843E-06,-1.97860653296756E-06,0,0,13
0,0,-7.4994500540793E-06,-2.06782085907026E-05,1.37461964975743E-06,-1.37990034280764E-05,0,0,14
0,0,-1.18728643010533E-05,-4.4866323315052E-05,5.92403933307066E-06,-2.72869973494256E-07,0,0,15
0,0,-1.12991685925674E-05,-2.70013211298596E-05,3.92405011557803E-06,-5.94568866439222E-06,0,0,16
0,0,-1.33900957868679E-05,-4.40777857254248E-05,1.49091714258165E-06,-9.74969060676988E-07,0,0,17
0,0,-1.20475869083895E-05,-4.36172643725261E-05,1.59492556416508E-05,7.85971343424618E-07,0,0,18
0,0,-1.14076280951073E-05,-2.71517634635281E-05,3.37771977790638E-06,-2.51147565087875E-06,0,0,19
0,0,-1.16906720698243E-05,-2.8134503057416E-05,3.29006343994612E-06,-1.47198788791124E-06,0,0,20
0,0,-1.42610475715172E-05,-3.67377241711264E-05,2.65802301388534E-06,-7.65667708221629E-06,0,0,21
0,0,-1.3130245883027E-05,-4.32430688830401E-05,3.11007777519686E-06,-1.19428641266E-06,0,0,22
0,0,-9.8941709099827E-06,-2.34028132691264E-05,3.11935890794273E-06,-6.0921580480391E-06,0,0,23
0,0,-1.22242767491682E-05,-2.96619723113683E-05,2.87694644313943E-06,-9.69797083814735E-06,0,0,24
0,0,-1.00952754367097E-05,-4.42098084684602E-05,-1.25755533731521E-06,1.05219563666762E-06,0,0,25
0,0,-6.5172162539516E-06,-2.22388101873509E-05,2.72060875438953E-06,-1.54675091470969E-05,0,0,26
0,0,-1.07970888048068E-05,-4.44214189519192E-05,-3.88722801240399E-06,1.58418227389664E-06,0,0,27
0,0,-1.32516723047372E-05,-4.09325076669117E-05,5.26232769268588E-06,-1.17875667124356E-06,0,0,28
0,0,-1.1431926964929E-05,-2.7411970705685E-05,3.89429701407552E-06,-6.39550506346789E-06,0,0,29
0,0,-7.08239070003032E-06,-2.25983897011344E-05,3.10311459948681E-06,-1.38327785871561E-05,0,0,30
0,0,-1.23890987743456E-05,-4.02688880938646E-05,1.43817589307471E-05,1.56548605646764E-06,0,0,31
0,0,-1.38451459047392E-05,-3.86208556537427E-05,3.25224221889628E-06,-3.25540085673097E-06,0,0,32
0,0,-1.19942870797003E-05,-3.08380529265041E-05,6.71479373933605E-06,2.57905459729126E-06,0,0,33
0,0,-1.17173395606641E-05,-4.49799053953236E-05,-9.00868851717854E-08,3.59121606301793E-08,0,0,34
0,0,-1.38135670982898E-05,-4.24974524540437E-05,1.98927147617615E-06,-1.9993742293165E-06,0,0,35
